id,name,artists
7eGuPhpdS8sBjPJNuAShUX,What Is This Feeling?,"['66CXWjxzNUsdJxJ2JdwvnR', '46UMQ0cW8ToR8egkBRwAxZ']"
6qo8v2y2MHUSPLs7VBc6cG,Dancing Through Life,"['2Je7IdIHe8UvZbLXdapQ26', '66CXWjxzNUsdJxJ2JdwvnR', '0yF5IqIHlPDti2mfZtHe3K', '6uGIoRQUqP4ncxyg6HksA1', '46UMQ0cW8ToR8egkBRwAxZ']"
4jNerIJa2IOeL5gVDvMNLW,One Short Day,"['46UMQ0cW8ToR8egkBRwAxZ', '66CXWjxzNUsdJxJ2JdwvnR', '3DgcBA7P0ji5co7Z1Gfp2Q', '73Np75Wv2tju61Eo9Zw4IR', '26el8XoLgjuWJJBXCVdHjX']"
5QMrH5nszZZR3nefIj6Mar,Defying Gravity,"['46UMQ0cW8ToR8egkBRwAxZ', '66CXWjxzNUsdJxJ2JdwvnR']"
0TRiAXUwYAHo4sQKMgcZZG,ordinary things (feat. Nonna),"['66CXWjxzNUsdJxJ2JdwvnR', '6maPmKkdwM4eyhz5O4lbkP']"
11U6LlwAzp6mrS2JNWYXt1,"yes, and? (with Mariah Carey) - Remix","['66CXWjxzNUsdJxJ2JdwvnR', '4iHNK0tOyZPYnBU7nGAgpQ']"
0OanqO2wZZkAE8i6FESIXS,supernatural (with Troye Sivan) - remix,"['66CXWjxzNUsdJxJ2JdwvnR', '3WGpXCj9YhhfX11TToZcXP']"
4TkvdQwcxXxusi8JG6mMj7,"the boy is mine (with Brandy, Monica) - Remix","['66CXWjxzNUsdJxJ2JdwvnR', '05oH07COxkXKIMt6mIPRee', '6nzxy2wXs6tLgzEtqOkEi2']"
4jwPNgd0ux1wE4TgETVIT3,Problem,"['66CXWjxzNUsdJxJ2JdwvnR', '5yG7ZAZafVaAlMTeBybKAL']"
7qQKhhQkLGxDKeF0EY2uH6,Break Free,"['66CXWjxzNUsdJxJ2JdwvnR', '2qxJFvFYMEDqd7ui6kSAcq']"
3uDFCbWt1T19sz8zhBuaUc,Best Mistake,"['66CXWjxzNUsdJxJ2JdwvnR', '0c173mlxpT3dSFRgMO8XPh']"
0BFkaHSK8Irpp9KX7XUsvd,Be My Baby,"['66CXWjxzNUsdJxJ2JdwvnR', '2LZDXcxJWgsJfKXZv9a5eG']"
50TJobiTvboJbFoSykLsYF,Break Your Heart Right Back,"['66CXWjxzNUsdJxJ2JdwvnR', '73sIBHcqh3Z3NyqHKZ7FOL']"
2Pm40TLDw6G78thGOdsJW7,Love Me Harder,"['66CXWjxzNUsdJxJ2JdwvnR', '1Xyo4u8uXC1ZmMpatF05PJ']"
09FrbOhB1v2VV5MxJd54qm,Hands On Me,"['66CXWjxzNUsdJxJ2JdwvnR', '5dHt1vcEm9qb8fCyLcB3HL']"
742RnSnVo7SZNhN32AavQJ,Bang Bang,"['2gsggkzM5R49q6jpPvazou', '66CXWjxzNUsdJxJ2JdwvnR', '0hCNtLu0JehylgoiP8L4Gh']"
1f8raciYdYBqsjv5v21S53,ordinary things (feat. Nonna),"['66CXWjxzNUsdJxJ2JdwvnR', '6maPmKkdwM4eyhz5O4lbkP']"
3iJOkxYP59kFJ5OLgHo4Tp,supernatural (with Troye Sivan) - remix,"['66CXWjxzNUsdJxJ2JdwvnR', '3WGpXCj9YhhfX11TToZcXP']"
1UjPANunXLp0G9hbQNyPh9,"yes, and? (with Mariah Carey) - Remix","['66CXWjxzNUsdJxJ2JdwvnR', '4iHNK0tOyZPYnBU7nGAgpQ']"
4mHM5d2fK3n8xgymjf92w2,ordinary things (feat. Nonna),"['66CXWjxzNUsdJxJ2JdwvnR', '6maPmKkdwM4eyhz5O4lbkP']"
5aKqhRdBmC5Qp2c3oek9ft,Right There (feat. Big Sean),"['66CXWjxzNUsdJxJ2JdwvnR', '0c173mlxpT3dSFRgMO8XPh']"
1Onx2O64wzyA7ZzOsBBqBJ,The Way (feat. Mac Miller),"['66CXWjxzNUsdJxJ2JdwvnR', '4LLpKhyESsyAXpc4laK94U']"
1YGd0ZaBGQjOdApv3fpnow,Almost Is Never Enough (with Nathan Sykes),"['66CXWjxzNUsdJxJ2JdwvnR', '2Rf4X6m0oayCJhaJ5K63GQ']"
4AzzUUIBICXrr5OYfs2u2C,Popular Song (MIKA & Ariana Grande),"['5MmVJVhhYKQ86izuGHzJYA', '66CXWjxzNUsdJxJ2JdwvnR']"
3HAQ4fEd3opmo09LJIHOX2,The Way - Spanglish Version (feat. Mac Miller),"['66CXWjxzNUsdJxJ2JdwvnR', '4LLpKhyESsyAXpc4laK94U']"
5J9jzskSfbSF7sTCWyoF93,Right There - Live from London (feat. Big Sean),"['66CXWjxzNUsdJxJ2JdwvnR', '0c173mlxpT3dSFRgMO8XPh']"
4VUp83ibStl36qC7UOxGkF,The Way - Live from London (feat. Mac Miller),"['66CXWjxzNUsdJxJ2JdwvnR', '4LLpKhyESsyAXpc4laK94U']"
5VipERQ1ofCowecoFg2MVU,motive (with Doja Cat),"['66CXWjxzNUsdJxJ2JdwvnR', '5cj0lLjcoR7YOSnhnX0Po5']"
1qKdid2S9fZdSrzLaCcjcF,off the table (with The Weeknd),"['66CXWjxzNUsdJxJ2JdwvnR', '1Xyo4u8uXC1ZmMpatF05PJ']"
53Z8fbdVNus9Kiu7tWIBEC,safety net (feat. Ty Dolla $ign),"['66CXWjxzNUsdJxJ2JdwvnR', '7c0XG5cIJTrrAgEC3ULPiq']"
2sQH02O2HBCPJCztBrCWNa,"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix","['66CXWjxzNUsdJxJ2JdwvnR', '5cj0lLjcoR7YOSnhnX0Po5', '181bsRPaVXVlUKXrxwZfHK']"
5GkQIP5mWPi4KZLLXeuFTT,motive (with Doja Cat),"['66CXWjxzNUsdJxJ2JdwvnR', '5cj0lLjcoR7YOSnhnX0Po5']"
7E1jVNoWuemqUryI4FxsVD,off the table (with The Weeknd),"['66CXWjxzNUsdJxJ2JdwvnR', '1Xyo4u8uXC1ZmMpatF05PJ']"
14gkWVFMwdxBMyqBw1wmIg,safety net (feat. Ty Dolla $ign),"['66CXWjxzNUsdJxJ2JdwvnR', '7c0XG5cIJTrrAgEC3ULPiq']"
1FYLqciy2MckeKgTvOCawO,side to side - live,"['66CXWjxzNUsdJxJ2JdwvnR', '0hCNtLu0JehylgoiP8L4Gh']"
7MjS7SoRzn8VXajFdV3t04,right there - live,"['66CXWjxzNUsdJxJ2JdwvnR', '0c173mlxpT3dSFRgMO8XPh']"
1qfOSlQohddqAOGl3f8snd,break your heart right back - live,"['66CXWjxzNUsdJxJ2JdwvnR', '73sIBHcqh3Z3NyqHKZ7FOL']"
0mQVABspENyHvpVqRpnkxJ,the light is coming - live,"['66CXWjxzNUsdJxJ2JdwvnR', '0hCNtLu0JehylgoiP8L4Gh']"
4mLkiFppf8Xvem6BSY34qw,blazed (feat. Pharrell Williams),"['66CXWjxzNUsdJxJ2JdwvnR', '2RdwBSPQiwcmiDo9kixcl8']"
0sdbFOyfgAhAhWq8DpzkaW,the light is coming (feat. Nicki Minaj),"['66CXWjxzNUsdJxJ2JdwvnR', '0hCNtLu0JehylgoiP8L4Gh']"
4b7mLZQWsy0rLnrMtPA9fQ,borderline (feat. Missy Elliott),"['66CXWjxzNUsdJxJ2JdwvnR', '2wIVse2owClT7go1WT98tk']"
4HeCFqiB1rBqGqvE10rF1a,Side To Side,"['66CXWjxzNUsdJxJ2JdwvnR', '0hCNtLu0JehylgoiP8L4Gh']"
6VpLNElCyXW15cBixlnIu8,Let Me Love You,"['66CXWjxzNUsdJxJ2JdwvnR', '55Aa2cqylxrFIXC767Z865']"
4Xg2NUXyF7cgvwSOs6PiSa,Leave Me Lonely,"['66CXWjxzNUsdJxJ2JdwvnR', '4ylR3zwA0zaapAu94fktwa']"
53SfB4huCgiRGmwzJdEo1u,Everyday,"['66CXWjxzNUsdJxJ2JdwvnR', '1RyvyyTE3xzB2ZywiAwp0i']"
7vS3Y0IKjde7Xg85LWIEdP,Problem,"['66CXWjxzNUsdJxJ2JdwvnR', '5yG7ZAZafVaAlMTeBybKAL']"
12KUFSHFgT0XCoiSlvdQi4,Break Free,"['66CXWjxzNUsdJxJ2JdwvnR', '2qxJFvFYMEDqd7ui6kSAcq']"
70yhaHLp9STtzI2Kzba6Tr,Best Mistake,"['66CXWjxzNUsdJxJ2JdwvnR', '0c173mlxpT3dSFRgMO8XPh']"
0fonaf88IEDQM309zmU80L,Be My Baby,"['66CXWjxzNUsdJxJ2JdwvnR', '2LZDXcxJWgsJfKXZv9a5eG']"
0HGcQDbRen8luCnwH53sNl,Break Your Heart Right Back,"['66CXWjxzNUsdJxJ2JdwvnR', '73sIBHcqh3Z3NyqHKZ7FOL']"
5J4ZkQpzMUFojo1CtAZYpn,Love Me Harder,"['66CXWjxzNUsdJxJ2JdwvnR', '1Xyo4u8uXC1ZmMpatF05PJ']"
1rNop31kdDmSj3Ds6xhIeS,Hands On Me,"['66CXWjxzNUsdJxJ2JdwvnR', '5dHt1vcEm9qb8fCyLcB3HL']"
466s1BacUmiRdR3ISvNjyx,Bang Bang,"['2gsggkzM5R49q6jpPvazou', '66CXWjxzNUsdJxJ2JdwvnR', '0hCNtLu0JehylgoiP8L4Gh']"
47rzxY9wSpomHE1gT94jIT,Right There,"['66CXWjxzNUsdJxJ2JdwvnR', '0c173mlxpT3dSFRgMO8XPh']"
0S4RKPbRDA72tvKwVdXQqe,The Way,"['66CXWjxzNUsdJxJ2JdwvnR', '4LLpKhyESsyAXpc4laK94U']"
